# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc1_S11[dB];
1.000000000000000E+009;-3.753052256429744E-001;
1.045000000000000E+009;-4.258589738751350E-001;
1.090000000000000E+009;-4.774749857773756E-001;
1.135000000000000E+009;-5.060919621065528E-001;
1.180000000000000E+009;-5.664304824385829E-001;
1.225000000000000E+009;-5.854780544904461E-001;
1.270000000000000E+009;-6.146495401762970E-001;
1.315000000000000E+009;-6.541321798492832E-001;
1.360000000000000E+009;-6.793754446825738E-001;
1.405000000000000E+009;-6.864221491238181E-001;
1.450000000000000E+009;-7.049430468397320E-001;
1.495000000000000E+009;-7.043834646459951E-001;
1.540000000000000E+009;-7.021243953343875E-001;
1.585000000000000E+009;-7.222847787948999E-001;
1.630000000000000E+009;-7.234765070180309E-001;
1.675000000000000E+009;-7.009278261006263E-001;
1.720000000000000E+009;-6.857009058070827E-001;
1.765000000000000E+009;-6.845112062258298E-001;
1.810000000000000E+009;-6.999717150582989E-001;
1.855000000000000E+009;-6.808887810189663E-001;
1.900000000000000E+009;-6.796649411256348E-001;
1.945000000000000E+009;-7.210638557804306E-001;
1.990000000000000E+009;-7.391203919504487E-001;
2.035000000000000E+009;-7.863788136104108E-001;
2.080000000000000E+009;-8.647463517700373E-001;
2.125000000000000E+009;-1.009861114463655E+000;
2.170000000000000E+009;-1.291366402514588E+000;
2.215000000000000E+009;-1.933678322157039E+000;
2.260000000000000E+009;-3.730778738905430E+000;
2.305000000000000E+009;-1.117883182633292E+001;
2.350000000000000E+009;-1.090340215595458E+001;
2.395000000000000E+009;-4.086597506761379E+000;
2.440000000000000E+009;-2.370766767464730E+000;
2.485000000000000E+009;-1.748661542820650E+000;
2.530000000000000E+009;-1.472015477623336E+000;
2.575000000000000E+009;-1.364061841198387E+000;
2.620000000000000E+009;-1.342833528278400E+000;
2.665000000000000E+009;-1.335827415570688E+000;
2.710000000000000E+009;-1.360305804882706E+000;
2.755000000000000E+009;-1.405210470860719E+000;
2.800000000000000E+009;-1.456385049902014E+000;
2.845000000000000E+009;-1.495827545609282E+000;
2.890000000000000E+009;-1.541046702340434E+000;
2.935000000000000E+009;-1.569901962850550E+000;
2.980000000000000E+009;-1.587655370745126E+000;
3.025000000000000E+009;-1.581665972299005E+000;
3.070000000000000E+009;-1.568672997236754E+000;
3.115000000000000E+009;-1.562353941689686E+000;
3.160000000000000E+009;-1.533625455716937E+000;
3.205000000000000E+009;-1.487833786973844E+000;
3.250000000000000E+009;-1.442195225672735E+000;
3.295000000000000E+009;-1.397469762021136E+000;
3.340000000000000E+009;-1.372186461449136E+000;
3.385000000000000E+009;-1.357883475290596E+000;
3.430000000000000E+009;-1.382788046260735E+000;
3.475000000000000E+009;-1.398419789446922E+000;
3.520000000000000E+009;-1.450998062151040E+000;
3.565000000000000E+009;-1.565143827308774E+000;
3.610000000000000E+009;-1.775605600008198E+000;
3.655000000000000E+009;-2.129106633773050E+000;
3.700000000000000E+009;-2.786435785781996E+000;
3.745000000000000E+009;-4.200025656749026E+000;
3.790000000000000E+009;-7.575133817941248E+000;
3.835000000000000E+009;-1.663103772773207E+001;
